name,email,address,contact,jurisdiction__slug,other_names,description,tags,parent__name,classification,url,website_dump,request_note
Aloha Stadium Authority,alohastadium@hawaii.gov,"P.O. Box 30666
Honolulu, HI  96820-0666","Phone:  (808) 483-2500
Fax:  (808) 483-2823",state-of-hawaii,,Our mission is to meet the challenge of providing a first class arena where the dreams of our young people can be realized through participation in sporting and other special events; where the spirit of achievement can be nourished by the thrill of competition; where families can gather to share their cultural diversity with pride and a feeling of Aloha.,stadium,,Department of Accounting & General Services,http://alohastadium.hawaii.gov,,
Office of the County Auditor,auditor@kauai.gov,"3083 Akahi Street, Room 201
Lihue, HI  96766","Phone:  (808) 241-4178
Fax:  (808) 241-6208",county-of-kauai,,The Auditor examines and evaluates the County’s financial condition and its agencies and programs.,"auditor,audit,investigation",,,http://www.kauai.gov/Auditor,,
Office of the Auditor,auditors2@auditor.state.hi.us,"Kekūanāoʻa Building
465 S. King St., Rm. 500
Honolulu, HI 96813-2917","Ph:  808 587-0800
Fax: 808 587-0830",state-of-hawaii,,"As an independent, nonpartisan office, we report on performance audits, financial audits, sunset evaluations of regulatory programs, sunrise analyses of proposed regulatory programs, analyses of proposals to mandate health insurance benefits, procurement audits, special studies requested by the Legislature, analyses of proposed special funds, analyses of existing trust and revolving funds, and fiscal accountability analyses of public education.","audit,investigation,auditor",,,http://auditor.hawaii.gov/,,
Department of Budget & Fiscal Services,bfsmail@honolulu.gov,"530 South King Street, Room 208
Honolulu, Hawaii 96813","Phone: (808) 768-3901 
Fax: (808) 768-3179",city-and-county-of-honolulu,,"The Department of Budget and Fiscal Services (BFS) is responsible for providing the city’s centralized accounting, procurement, treasury, and budget functions.","accounting,budget,finance,audit,bonds,capital improvements,CIP,investment,unclaimed property,treasury,BFS,procurement,purchasing,contractor,vendor,contract,real property,assessment,property assessment,auction,RPAD,tax,taxation,Board of Review",,,http://www.honolulu.gov/budget/default.html,,
Budget Office,Budget.Office@co.maui.hi.us,"200 S. High Street, 9th Floor
Wailuku, HI 96793","Phone: (808) 270-7855
Fax: (808) 270-787",county-of-maui,,The budget process helps decision-makers make informed choices about the provision of services and capital assets and to promote stakeholder participation in the process. ,"budget,capital improvements,CIP",,Office of the Mayor,http://co.maui.hi.us/139/Budget-Office,,
Department of Research & Development,chresdev@hawaiicounty.gov,"25 Aupuni Street, Suite 1301
Hilo, HI 96720","Phone: (808) 961-8366
Fax: (808) 935-1205",county-of-hawaii,,"The mission of the department is to provide pro-active leadership, enhancing the quality of life, and sustainability of Hawai‘i Island communities through programs related to: agriculture, energy, tourism, economic development, community development, and film.","research,development,business,tourism,agriculture,energy,film,economic development,sustainability,forestry,invasive species,pest,incubator,innovation,Big Island Film Office,statistics,Energy Advisory Commission,Agriculture Advisory Commission",,,http://www.hawaiicounty.gov/research-and-development/,,
Civil Defense Agency,civil_defense@co.hawaii.hi.us,"920 Ululani Street
Hilo, HI 96720","Phone: (808) 935-0031
Fax: (808) 935-6460",county-of-hawaii,,The role of the Civil Defense Agency is to direct and coordinate the development and administration of the County’s total emergency preparedness and response program to ensure prompt and effective action when natural or man-caused disaster threatens or occurs anywhere in the County of Hawai‘i.,"emergency,disaster,civil defense",,,http://www.hawaiicounty.gov/civil-defense/,,
Civil Defense Agency,civil.defense@mauicounty.gov,"200 S High St
Kalana O Maui Bldg, 1st Fl
Wailuku, HI 96793","Phone: (808) 270-7285
Fax: (808) 270-7275",county-of-maui,,"The Maui County Civil Defense Agency is responsible for administering and operating the various local, state, and federal civil defense programs for the County. This includes planning, preparing, and coordinating civil defense operations in meeting disaster situations and coordinating post-disaster recovery operations.","emergency,disaster,civil defense",,,http://www.co.maui.hi.us/70/Civil-Defense-Agency,,
Kauai Civil Defense Agency,civildefense@kauai.gov,"3990 Kaana Street, Suite 100
Lihue, Hawaii, 96766 ","Phone: (808) 241-1800
Fax: (808) 241-1860",county-of-kauai,,"The Kauaʻi Civil Defense Agency strives to actively promote and enhance whole-community preparedness, resilience and safety in the face of numerous threats, hazards and disasters that can potentially affect our island communities.","emergency,disaster,civil defense",,,http://www.kauai.gov/CivilDefense,,
Office of the City Clerk,clerks@honolulu.gov,"530 S. King Street
Honolulu, HI 96813","Phone: (808) 768-3810
Fax: (808) 768-3835",city-and-county-of-honolulu,,"The Office of the City Clerk is custodian of ordinances, resolutions, rules and regulations of all city agencies, the city seal, books, papers and records. The clerk provides staff support to the council for all regular sessions, committee meetings and public hearings. It is responsible for voter registration and conducts all elections for the City and County of Honolulu. The clerk also authenticates all official papers and instruments requiring certification.","clerk,legislative,council,certification,voter,registration,elections,archives,campaign",,,http://www.honolulu.gov/clerk/default.html,,
Department of Environmental Management,cohdem@hawaiicounty.gov,"345 Kekūanāo‘a St., Suite 41
Hilo, HI 96720","Phone: (808) 961-8083
Fax: (808) 961-8086",county-of-hawaii,,"The Department of Environmental Management has the responsibility of continuous performance of all matters relating to sewer operation and maintenance of five sewer systems; solid waste disposal and landfill programs; vehicle disposal; and all other environmental projects, including recycling programs of the county. Department of Environmental Management is also a key support agency for Civil Defense emergencies.","environmental,environmental management,wastewater,trash,opala,solid waste,recycling,bulky,greenwaste,landfill,South Hilo Sanitary Landfill,DEM,West hawaii Sanitary Landfill,Environmental Management Commission,environmental services,environment",,,http://www.hawaiicounty.gov/environmental-management/,,
Department of Liquor Control,cohdlc@co.hawaii.hi.us,"Hilo Lagoon Center, 101 Aupuni Street, Suite 230
Hilo, HI 96720","Phone: (808) 961-8218
Fax: (808) 961-8684",county-of-hawaii,,"A regulatory agency whose functions are to regulate the manufacture, importation, sale and consumption of intoxicating liquors and to ensure compliance to state and county laws through enforcement of these laws.","liquor,licensing,liquor control commission,liquor control adjudication board",,,http://www.hawaiicounty.gov/liquor-control/,,
Immigration Office,cohiso@co.hawaii.hi.us,"25 Aupuni Street, Suite 2601
Hilo, HI 96720","Phone: (808) 961-8220
Fax: (808) 961-8630",county-of-hawaii,,"The Immigration Information Office provides immigration information and assistance on immigration related issues and concerns to the constituents of Hawai‘i County, disseminates immigration forms, acts as a resource office, and serves as a liaison to the United States Citizenship and Immigration Services (USCIS formerly INS).",immigration,,,http://www.hawaiicounty.gov/immigration/,,
Office of the Mayor,cohmayor@hawaiicounty.gov,"25 Aupuni Street
Hilo, HI  96720","Phone:  (808) 961-8211
Fax:  (808) 961-6553",county-of-hawaii,,"The Office of the Mayor provides direction, leadership and operational supervision for all Executive Branch departments and agencies and works in conjunction with the County Council to develop and implement policies described under Articles IV and V of the County Charter.","mayor,Family Violence Advisory Commission,Game Management Advisory Commission,Highway Safety Council",,,http://hawaiicountymayor.com/,,
Kauai County Council,cokcouncil@kauai.gov,"4396 Rice Street, Suite 209
Lihue, HI  96766","Phone:  (808) 241-4188
Fax:  (808) 241-6349",county-of-kauai,,Exercises the legislative power of the county.,"council, legislative",,,http://www.kauai.gov/Council,,
Office of the County Clerk - Council Services,cokcouncil@kauai.gov,"4396 Rice Street, Suite 209
Lihue, HI  96766","Phone:  (808) 241-4188
Fax:  (808) 241-6349",county-of-kauai,,"To serve the Kauaʻi County Council in its legislative function and to provide service to the community efficiently, accurately, and with respect.","clerk,legislative,council,certification,archives,research",,,http://www.kauai.gov/CountyClerk/CouncilServices,,
Office of the Ombudsman,complaints@ombudsman.hawaii.gov,"Office of the Ombudsman
465 South King Street, 4th Floor
Honolulu, Hawaii  96813","Ph: 808 587-0770
Fax: 808 587-0773",state-of-hawaii,,The Hawaii State Ombudsman independently and impartially investigates complaints against state and county agencies and employees.,"investigation,ombudsman",,,http://ombudsman.hawaii.gov/,,
Hawaii Community Development Authority,contact@hcdaweb.org,"547 Queen Street
Honolulu, HI  96813","Phone:  (808) 594-0300
Fax:  (808) 587-0299",state-of-hawaii,,The Hawaii Community Development Authority (HCDA) is a State agency that was established to supplement traditional community renewal methods by promoting and coordinating public and private sector community development.,"land use, Kakaako, Kalaeloa, Heeia, HCDA, development",,"Department of Business, Economic Development & Tourism",http://dbedt.hawaii.gov/hcda/,,
Honolulu Board of Water Supply,contactus@hbws.org,"630 S. Beretania Street
Honolulu, HI 96813",Phone:  (808) 748-5000,city-and-county-of-honolulu,,"By city charter, the Honolulu Board of Water Supply (BWS) has full and complete authority to manage, control, and operate all city water systems on O`ahu.","BWS,water,planning",,,http://www.boardofwatersupply.com/cssweb/,,
Hawaii Police Department,copsysop@co.hawaii.hi.us,"349 Kapi‘olani Street
Hilo, HI 96720",,county-of-hawaii,,The Hawai‘i Police Department is the Big Island’s primary law enforcement agency. The department provides 24-hour service in all districts.,"HPD,crime,criminal,investigation,internal affairs,safety,emergency,police,law enforcement,firearm,narcotics,professional standards,police commission",,,http://www.hawaiipolice.com/,,
Department of the Corporation Counsel,cor@honolulu.gov,"530 South King Street, Room 110 
Honolulu, Hawaii 96813","Phone: (808) 768-5100 
Fax: (808) 768-5105",city-and-county-of-honolulu,,"The Department of the Corporation Counsel (COR) serves as the chief legal advisor and legal representative for all city agencies, the city council, and all officers and employees in matters relating to their official powers and duties. The department represents the city in all legal proceedings and performs all other legal services.","legal,COR,corporation counsel,lawyer,attorney,counsel",,,http://www.honolulu.gov/cor/default.html,,
Department of the Corporation Counsel,corpcoun@mauicounty.gov,"200 S. High St
Kalana O Maui Bldg, 3rd Fl
Wailuku, HI 96793","Phone: (808) 270-7740
Fax: (808) 270-7152",county-of-maui,,"The Legal Services Program serves as legal adviser and legal representative of the County of Maui, of the Council, the Mayor, all departments, all Boards and Commissions, and of all County officials and employees in matters relating to their official duties.  Effective July 1, 2012, this program also includes the Risk Management Division, which was transferred from the Department of Finance.","legal,corporation counsel,lawyer,attorney,counsel,Charter Commission",,,http://co.maui.hi.us/969/Department-of-the-Corporation-Counsel,,
Board of Ethics,corpcoun@mauicounty.gov,"200 S. High St
Kalana O Maui Bldg, 3rd Fl
Wailuku, HI 96793",Phone:  (808) 270-7742,county-of-maui,,"Initiates, receives, hears and investigates complaints of violations of the County Ethics Code by employees and officers of the County.","ethics,lobbying,gifts,financial disclosure,investigation",,Department of Corporation Counsel,http://www.mauicounty.gov/170/Board-of-Ethics,,
