id,name,email,contact,address,url,classification,jurisdiction__slug,categories,other_names,website_dump,description,request_note,parent__name
128,Agency On Elderly Affairs,elderlyaffairs@kauai.gov,"Phone: (808) 241-4470
Fax: (808) 241-5113","Piʻikoi Building
4444 Rice Street, Suite 330
Lihue, Kauai, Hawaii, 96766",http://www.kauai.gov/Elderly,,county-of-kauai,"""elder affairs"",aging",,,"The County of Kauai Agency on Elderly Affairs (AEA), with the Mayor as Chief Executive, is your local Area Agency on Aging. Its purpose is to plan, support, and advocate for programs to promote the well-being of Kauai's older adults and to address and respond to the priority needs of all seniors. ",,
36,Agribusiness Development Corporation,hdoa.info@hawaii.gov,"Phone:  (808) 586-0186
Fax:  (808) 586-0189","235 S. Beretania St., Room 205
Honolulu, HI  96813",http://hdoa.hawaii.gov/chair/adc10/,Department of Agriculture,state-of-hawaii,"agriculture,development,land,water",,,"The mission of the Agribusiness Development Corporation (ADC) is to acquire, and manage in partnership with farmers, ranchers, and aquaculture groups, selected high-value lands, water systems, and infrastructure for commercial agricultural use and to direct research into areas that will lead to the development of new crops, markets, and lower production costs.",,
31,Aloha Stadium Authority,alohastadium@hawaii.gov,"Phone:  (808) 483-2500
Fax:  (808) 483-2823","P.O. Box 30666
Honolulu, HI  96820-0666",http://alohastadium.hawaii.gov,Department of Accounting & General Services,state-of-hawaii,stadium,,,Our mission is to meet the challenge of providing a first class arena where the dreams of our young people can be realized through participation in sporting and other special events; where the spirit of achievement can be nourished by the thrill of competition; where families can gather to share their cultural diversity with pride and a feeling of Aloha.,,
151,Budget Office,budget.office@co.maui.hi.us,"Phone: (808) 270-7855
Fax: (808) 270-787","200 S. High Street, 9th Floor
Wailuku, HI 96793",http://co.maui.hi.us/139/Budget-Office,Office of the Mayor,county-of-maui,"""capital improvements"",CIP,budget",,,The budget process helps decision-makers make informed choices about the provision of services and capital assets and to promote stakeholder participation in the process. ,,
30,Campaign Spending Commission,dags@hawaii.gov,"Phone:  (808) 586-0285
Fax:  (808) 586-0288","235 S. Beretania St., Room 300
Honolulu, HI  96813",http://ags.hawaii.gov/campaign/,Department of Accounting & General Services,state-of-hawaii,"campaign,contribution,elections,fundraising",,,"Our mission is to maintain the integrity and transparency of the campaign finance process by enforcing the law, educating the public, administering public financing, and training campaign committees in order to encourage timely compliance.",,
97,City Council,tommy.waters@honolulu.gov,Fax:  (808) 768-5004,"530 S. King Street, Room 203
Honolulu, HI  96813",http://www.honolulu.gov/council/default.html,,city-and-county-of-honolulu,"""Agricultural Development Task Force"",""Charter Commission"",""Clean Water & Natural Lands Commission"",""Domestic Violence Response Task Force"",""Hawaii State Association of Counties"",""Kakaako Public Infrastructure & Facilities Working Group"",""Real Property Tax Advisory Commission"",""Salary Commission"",council,legislative",,,"This body’s major duties include establishing citywide policies via the passage of ordinances and resolutions, adopting the city’s annual operating and capital improvement budgets, setting the annual real property tax rate and authorizing the issuance of general obligation bonds.",,
90,City Department of Human Resources,dhr@honolulu.gov,"Phone: (808) 768-8500
Fax: (808) 768-5563","650 South King Street, 10th Floor
Honolulu, Hawaii 96813",http://www.honolulu.gov/hr.html,,city-and-county-of-honolulu,"""Civil Service Commission"",""Civil Service"",""employee claims"",""employee relations"",""labor relations"",""occupational health"",""occupational safety"",""workers' compensation"",DHR,benefits,classification,employee,personnel,safety,workforce",,,The Department of Human Resources (DHR) is the city’s central personnel agency.,,
91,City Department of Information Technology,dit@honolulu.gov,"Phone: (808) 768-7684 
Fax: (808) 768-7807","650 South King Street, 5th Floor 
Honolulu, Hawaii 96813",http://www.honolulu.gov/it/default.html,,city-and-county-of-honolulu,"""information technology"",DIT,IT,computer,technology",,,"The Department of Information Technology (DIT) plans, directs, and coordinates the city’s information technology program. It sets and enforces citywide technology and data security standards and policies. The department also maintains and manages the city’s computer network and data processing operations 24-hours per day, 7-days a week. Its mission is to provide information technology products, services, guidance, and direction to city agencies so that the public is served in a cost-effective and efficient manner; and to maintain and secure the city’s communications network.",,
93,City Department of Parks & Recreation,parks@honolulu.gov,"Phone: (808) 768-3003
Fax: (808) 768-3053","1000 Uluohia Street, Suite 309
Kapolei, Hawaii 96707",http://www.honolulu.gov/parks/default.html,,city-and-county-of-honolulu,"""Board of Parks & Recreation"",""community gardens"",""honolulu botanical gardens"",""open market"",""people's open market"",DPR,camping,culture,facilities,forestry,gardens,parks,permitting,pool,recreation",,,"The Department of Parks and Recreation (DPR) manages, maintains, and operates all city parks and recreational facilities; develops and implements programs for cultural and recreational activities; and beautifies the city’s public streets.",,
79,City Department of the Corporation Counsel,cor@honolulu.gov,"Phone: (808) 768-5100 
Fax: (808) 768-5105","530 South King Street, Room 110 
Honolulu, Hawaii 96813",http://www.honolulu.gov/cor/default.html,,city-and-county-of-honolulu,"""corporation counsel"",COR,attorney,counsel,lawyer,legal",,,"The Department of the Corporation Counsel (COR) serves as the chief legal advisor and legal representative for all city agencies, the city council, and all officers and employees in matters relating to their official powers and duties. The department represents the city in all legal proceedings and performs all other legal services.",,
